Dolar,Euro,BTC,Data
5.6303,6.3566,205.154,03/01/2022
5.2804,5.9378,222.192,01/02/2022
5.1341,5.6070,217.556,02/03/2022
4.6978,5.1878,188.783,01/04/2022
5.0260,5.2879,151.553,02/05/2022
4.7759,5.0825,100.723,01/06/20224.8952,5.3609,146453,2023-08-08
4.8952,5.3609,146453,2023-08-08
4.897,5.364,146453,2023-08-08
4.8966,5.364,146427,2023-08-08
4.8966,5.364,146442,2023-08-08
4.8966,5.364,146361,2023-08-08
4.8966,5.364,146442,2023-08-08
4.8966,5.364,146427,2023-08-08
4.9675,5.4108,130440,2023-08-18
4.9675,5.4108,130440,2023-08-18
